Country_Code,Short_Name,Long_Name,2-alpha_code,Currency_Unit,Region,Income_Group,WB-2_code,National_accounts_base_year,National_accounts_reference_year,SNA_price_valuation,Lending_category,Other_groups,System_of_National_Accounts,Alternative_conversion_factor,PPP_survey_year,Balance_of_Payments_Manual_in_use,External_debt_Reporting_status,System_of_trade,Government_Accounting_concept,IMF_data_dissemination_standard,Latest_population_census,Latest_household_survey,Source_of_most_recent_Income_and_expenditure_data,Vital_registration_complete,Latest_agricultural_census,Latest_industrial_ data,Latest_trade_data,Latest_water_withdrawal_data
LBR,Liberia,Republic of Liberia,LR,Liberian dollar,Sub-Saharan Africa,Low income,LR,2000,2005,Value added at producer prices (VAP),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,1986,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2008,"Demographic and Health Survey (DHS), 2013","Core Welfare Indicator Questionnaire Survey (CWIQ), 2007",Yes,2008. Population and Housing Census.,2010,2010,2000
LBY,Libya,Socialist People's Libyan Arab Jamahiriya,LY,Libyan dinar,Middle East & North Africa,Upper middle income,LY,1999,2005,Value added at basic prices (VAB),IBRD,Euro area,Country uses the 1993 System of National Accounts methodology.,1986,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2006,"Multiple Indicator Cluster Survey (MICS), 2012","Integrated household survey (IHS), 1995",Yes,2013/2014,2010,2010,2000
LCA,St. Lucia,St. Lucia,LC,East Caribbean dollar,Latin America & Caribbean,Upper middle income,LC,2006,2005,Value added at basic prices (VAB),Blend,Euro area,Country uses the 1968 System of National Accounts methodology.,1990–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2010,"Multiple Indicator Cluster Survey (MICS), 2012","Integrated household survey (IHS), 1995",Yes,2007,2010,2008,2005
LCN,Latin America & Caribbean (all income levels),Latin America & Caribbean (all income levels),ZJ,Swiss franc,Europe & Central Asia,High income: nonOECD,ZJ,1990,2005,Value added at basic prices (VAB),Blend,Euro area,Country uses the 1993 System of National Accounts methodology.,1990–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2010,"Demographic and Health Survey (DHS), 2006/07","Expenditure survey/budget survey (ES/BS), 2010",Yes,2013/ 2014,2010,2012,2005
LDC,Least developed countries: UN classification,Least developed countries: UN classification,XL,Swiss franc,Europe & Central Asia,High income: nonOECD,XL,1990,2005,Value added at basic prices (VAB),Blend,Euro area,Country uses the 1993 System of National Accounts methodology.,1990–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2010,"Demographic and Health Survey (DHS), 2006/07","Expenditure survey/budget survey (ES/BS), 2010",Yes,2013/ 2014,2010,2012,2005
LIC,Low income,Low income,XM,Swiss franc,Europe & Central Asia,High income: nonOECD,XM,1990,2005,Value added at basic prices (VAB),Blend,Euro area,Country uses the 1993 System of National Accounts methodology.,1990–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2010,"Demographic and Health Survey (DHS), 2006/07","Expenditure survey/budget survey (ES/BS), 2010",Yes,2013/ 2014,2010,2012,2005
LIE,Liechtenstein,Principality of Liechtenstein,LI,Swiss franc,Europe & Central Asia,High income: nonOECD,LI,1990,2005,Value added at basic prices (VAB),Blend,Euro area,Country uses the 1993 System of National Accounts methodology.,1990–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2010,"Demographic and Health Survey (DHS), 2006/07","Expenditure survey/budget survey (ES/BS), 2010",Yes,2013/ 2014,2010,2012,2005
LKA,Sri Lanka,Democratic Socialist Republic of Sri Lanka,LK,Sri Lankan rupee,South Asia,Lower middle income,LK,2002,2005,Value added at producer prices (VAP),Blend,Euro area,Country uses the 1993 System of National Accounts methodology.,1990–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2012,"Demographic and Health Survey (DHS), 2006/07","Expenditure survey/budget survey (ES/BS), 2010",Yes,2013/ 2014,2010,2012,2005
LMC,Lower middle income,Lower middle income,XN,Lesotho loti,Sub-Saharan Africa,Lower middle income,XN,2004,2005,Value added at basic prices (VAB),IDA,Euro area,Country uses the 1993 System of National Accounts methodology.,1990–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2006,"Demographic and Health Survey (DHS), 2009","Expenditure survey/budget survey (ES/BS), 2002/03",Yes,2010,2010,2009,2000
LMY,Low & middle income,Low & middle income,XO,Lesotho loti,Sub-Saharan Africa,Lower middle income,XO,2004,2005,Value added at basic prices (VAB),IDA,Euro area,Country uses the 1993 System of National Accounts methodology.,1990–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2006,"Demographic and Health Survey (DHS), 2009","Expenditure survey/budget survey (ES/BS), 2002/03",Yes,2010,2010,2009,2000
LSO,Lesotho,Kingdom of Lesotho,LS,Lesotho loti,Sub-Saharan Africa,Lower middle income,LS,2004,2005,Value added at basic prices (VAB),IDA,Euro area,Country uses the 1993 System of National Accounts methodology.,1990–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2006,"Demographic and Health Survey (DHS), 2009","Expenditure survey/budget survey (ES/BS), 2002/03",Yes,2010,2010,2009,2000
LTU,Lithuania,Republic of Lithuania,LT,Lithuanian litas,Europe & Central Asia,High income: nonOECD,LT,2000,2005,Value added at basic prices (VAB),IBRD,Euro area,Country uses the 1993 System of National Accounts methodology.,1990–95,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"World Health Survey (WHS), 2003","Expenditure survey/budget survey (ES/BS), 2008",Yes,2010,2010,2012,2007
LUX,Luxembourg,Grand Duchy of Luxembourg,LU,Euro,Europe & Central Asia,High income: OECD,LU,Original chained constant price data are rescaled.,2005,Value added at basic prices (VAB),IBRD,Euro area,Country uses the 1993 System of National Accounts methodology.,1987–95,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"World Health Survey (WHS), 2003","Integrated household survey (IHS), 2008",Yes,2010,2009,2012,1999
LVA,Latvia,Republic of Latvia,LV,Latvian lats,Europe & Central Asia,High income: nonOECD,LV,2000,1996,Value added at basic prices (VAB),IBRD,Euro area,Country uses the 1993 System of National Accounts methodology.,1987–95,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"World Health Survey (WHS), 2003","Integrated household survey (IHS), 2008",Yes,2010,2010,2012,2002
MAC,"Macao SAR, China",Macao Special Administrative Region of the People's Republic of China,MO,Macao pataca,East Asia & Pacific,High income: nonOECD,MO,2012,1996,Value added at basic prices (VAB),IBRD,HIPC,Country uses the 1993 System of National Accounts methodology.,1990–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2011,"Multiple Indicator Cluster Survey (MICS)/Pan Arab Project for Family Health (PAPFAM), 2006","Expenditure survey/budget survey (ES/BS), 2007",Yes,2012,2010,2012,2000
MAF,St. Martin (French part),St. Martin (French part),MF,Euro,Latin America & Caribbean,High income: nonOECD,MF,1998,1996,Value added at basic prices (VAB),IBRD,HIPC,Country uses the 1993 System of National Accounts methodology.,1990–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2004,"Multiple Indicator Cluster Survey (MICS)/Pan Arab Project for Family Health (PAPFAM), 2006","Expenditure survey/budget survey (ES/BS), 2007",Yes,2012,2010,2012,2000
MAR,Morocco,Kingdom of Morocco,MA,Moroccan dirham,Middle East & North Africa,Lower middle income,MA,1998,1996,Value added at basic prices (VAB),IBRD,HIPC,Country uses the 1993 System of National Accounts methodology.,1990–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2004,"Multiple Indicator Cluster Survey (MICS)/Pan Arab Project for Family Health (PAPFAM), 2006","Expenditure survey/budget survey (ES/BS), 2007",Yes,2012,2010,2012,2000
MCO,Monaco,Principality of Monaco,MC,Euro,Europe & Central Asia,High income: nonOECD,MC,1990,1996,Value added at basic prices (VAB),Blend,HIPC,Country uses the 1993 System of National Accounts methodology.,1990–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2008,"Multiple Indicator Cluster Survey (MICS), 2012","Expenditure survey/budget survey (ES/BS), 2012",Yes,2011,2010,2012,2009
MDA,Moldova,Republic of Moldova,MD,Moldovan leu,Europe & Central Asia,Lower middle income,MD,Original chained constant price data are rescaled.,1996,Value added at basic prices (VAB),Blend,HIPC,Country uses the 1993 System of National Accounts methodology.,1990–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2004,"Multiple Indicator Cluster Survey (MICS), 2012","Expenditure survey/budget survey (ES/BS), 2012",Yes,2011,2010,2012,2007
MDG,Madagascar,Republic of Madagascar,MG,Malagasy ariary,Sub-Saharan Africa,Low income,MG,1984,2005,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,1992–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),1993,"Malaria Indicator Survey (MIS), 2013","Priority survey (PS), 2010",Yes,2007,2006,2012,2000
MDV,Maldives,Republic of Maldives,MV,Maldivian rufiyaa,South Asia,Upper middle income,MV,2003,2005,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,1992–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2006,"Demographic and Health Survey (DHS), 2009","Integrated household survey (IHS), 2010",Yes,2007,2010,2012,2008
MEA,Middle East & North Africa (all income levels),Middle East & North Africa (all income levels),ZQ,Mexican peso,Latin America & Caribbean,Upper middle income,ZQ,2008,2005,Value added at basic prices (VAB),IBRD,HIPC,Country uses the 2008 System of National Accounts methodology.,1992–95,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,"National Survey of Demographic Dynamics (ENADID), 2009","Integrated household survey (IHS), 2012",Yes,2007,2010,2012,2009
MEX,Mexico,United Mexican States,MX,Mexican peso,Latin America & Caribbean,Upper middle income,MX,2008,2005,Value added at basic prices (VAB),IBRD,HIPC,Country uses the 2008 System of National Accounts methodology.,1992–95,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,"National Survey of Demographic Dynamics (ENADID), 2009","Integrated household survey (IHS), 2012",Yes,2007,2010,2012,2009
MHL,Marshall Islands,Republic of the Marshall Islands,MH,U.S. dollar,East Asia & Pacific,Upper middle income,MH,2004,2005,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,1992–95,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Multiple Indicator Cluster Survey (MICS), 2011","Expenditure survey/budget survey (ES/BS), 2009",Yes,2011. Population and Housing Census.,2010,2012,2007
MIC,Middle income,Middle income,XP,Macedonian denar,Europe & Central Asia,Upper middle income,XP,1995,2005,Value added at basic prices (VAB),IBRD,HIPC,Country uses the 1993 System of National Accounts methodology.,1992–95,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2002,"Multiple Indicator Cluster Survey (MICS), 2011","Expenditure survey/budget survey (ES/BS), 2009",Yes,2007,2010,2012,2007
MKD,Macedonia,Former Yugoslav Republic of Macedonia,MK,Macedonian denar,Europe & Central Asia,Upper middle income,MK,1995,2005,Value added at basic prices (VAB),IBRD,HIPC,Country uses the 1993 System of National Accounts methodology.,1992–95,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2002,"Multiple Indicator Cluster Survey (MICS), 2011","Expenditure survey/budget survey (ES/BS), 2009",Yes,2007,2010,2012,2007
MLI,Mali,Republic of Mali,ML,CFA franc,Sub-Saharan Africa,Low income,ML,1987,2005,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,1992–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2009,"Demographic and Health Survey (DHS), 2012/13","Integrated household survey (IHS), 2009/10",Yes,2010,2008,2012,2000
MLT,Malta,Republic of Malta,MT,Euro,Middle East & North Africa,High income: nonOECD,MT,2005,2005,Value added at basic prices (VAB),IDA,Euro area,Country uses the 1993 System of National Accounts methodology.,1992–95,Rolling,"IMF Balance of Payments Manual, 6th edition.",Estimate,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Multiple Indicator Cluster Survey (MICS), 2009/10","Expenditure survey/budget survey (ES/BS), 2011",Yes,2010,2008,2012,2002
MMR,Myanmar,Republic of the Union of Myanmar,MM,Myanmar kyat,East Asia & Pacific,Low income,MM,2005/06,2005,Value added at producer prices (VAP),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,1992–95,Rolling,"IMF Balance of Payments Manual, 6th edition.",Estimate,General trade system,Consolidated central government,General Data Dissemination System (GDDS),1983,"Multiple Indicator Cluster Survey (MICS), 2009/10","Expenditure survey/budget survey (ES/BS), 2011",Yes,2010,2003,2010,2000
MNA,Middle East & North Africa (developing only),Middle East & North Africa (developing only),XQ,Euro,Europe & Central Asia,Upper middle income,XQ,2000,2005,Value added at basic prices (VAB),IBRD,HIPC,Country uses the 1993 System of National Accounts methodology.,1992–95,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),2011,"Multiple Indicator Cluster Survey (MICS), 2005/06","Expenditure survey/budget survey (ES/BS), 2011",Yes,2010,2008,2012,2010
MNE,Montenegro,Montenegro,ME,Euro,Europe & Central Asia,Upper middle income,ME,2000,2005,Value added at basic prices (VAB),IBRD,HIPC,Country uses the 1993 System of National Accounts methodology.,1992–95,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),2011,"Multiple Indicator Cluster Survey (MICS), 2005/06","Expenditure survey/budget survey (ES/BS), 2011",Yes,2010,2008,2012,2010
MNG,Mongolia,Mongolia,MN,Mongolian tugrik,East Asia & Pacific,Lower middle income,MN,2005,2005,Value added at basic prices (VAB),Blend,HIPC,Country uses the 1993 System of National Accounts methodology.,1992–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2010,"Multiple Indicator Cluster Survey (MICS), 2010","Living Standards Measurement Study Survey (LSMS), 2012",Yes,2012,2008,2007,2009
MNP,Northern Mariana Islands,Commonwealth of the Northern Mariana Islands,MP,U.S. dollar,East Asia & Pacific,High income: nonOECD,MP,2003,2005,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,1992–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2010,"Demographic and Health Survey (DHS), 2011","Expenditure survey/budget survey (ES/BS), 2008/09",Yes,2007,2010,2012,2001
MOZ,Mozambique,Republic of Mozambique,MZ,New Mozambican metical,Sub-Saharan Africa,Low income,MZ,2003,2005,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,1992–95,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2007,"Demographic and Health Survey (DHS), 2011","Expenditure survey/budget survey (ES/BS), 2008/09",Yes,2009/ 2010,2010,2012,2001
MRT,Mauritania,Islamic Republic of Mauritania,MR,Mauritanian ouguiya,Sub-Saharan Africa,Lower middle income,MR,2004,2005,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,1993,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2013,"Multiple Indicator Cluster Survey (MICS), 2011","Integrated household survey (IHS), 2008",Yes,2013/ 2014,2010,2012,2005
MUS,Mauritius,Republic of Mauritius,MU,Mauritian rupee,Sub-Saharan Africa,Upper middle income,MU,2006,2005,Value added at basic prices (VAB),IBRD,HIPC,Country uses the 1993 System of National Accounts methodology.,1993,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2011,"Reproductive Health Survey (RHS), 1991","Integrated household survey (IHS), 2010/11",Yes,2013/ 2014,2010,2012,2003
MWI,Malawi,Republic of Malawi,MW,Malawi kwacha,Sub-Saharan Africa,Low income,MW,2009,2005,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,1993,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2008,"HIV/Maternal and Child Health (HIV/MCH) Service Provision Assessments (SPA), 2013","Integrated household survey (IHS), 2010/11",Yes,2006/ 2007,2009,2011,2005
MYS,Malaysia,Malaysia,MY,Malaysian ringgit,East Asia & Pacific,Upper middle income,MY,2005,2005,Value added at producer prices (VAP),IBRD,HIPC,Country uses the 1993 System of National Accounts methodology.,1993,2005,"IMF Balance of Payments Manual, 6th edition.",Estimate,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2010,"World Health Survey (WHS), 2003","Expenditure survey/budget survey (ES/BS), 2012",Yes,2015,2010,2012,2005
NAC,North America,North America,XU,Namibian dollar,Sub-Saharan Africa,Upper middle income,XU,2010,2005,Value added at basic prices (VAB),IBRD,HIPC,Country uses the 1993 System of National Accounts methodology.,1993,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2011,"Demographic and Health Survey (DHS), 2013","Expenditure survey/budget survey (ES/BS), 2009/10",Yes,2014,2002,2012,2002
NAM,Namibia,Republic of Namibia,NA,Namibian dollar,Sub-Saharan Africa,Upper middle income,NA,2010,2005,Value added at basic prices (VAB),IBRD,HIPC,Country uses the 1993 System of National Accounts methodology.,1993,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2011,"Demographic and Health Survey (DHS), 2013","Expenditure survey/budget survey (ES/BS), 2009/10",Yes,2014,2002,2012,2002
NCL,New Caledonia,New Caledonia,NC,CFP franc,East Asia & Pacific,High income: nonOECD,NC,1990,2005,Value added at producer prices (VAP),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,1993,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2009,"Demographic and Health Survey (DHS), 2012","Core Welfare Indicator Questionnaire Survey (CWIQ)/Priority survey (PS), 2007",Yes,2004-2008,2002,2012,2005
NER,Niger,Republic of Niger,NE,CFA franc,Sub-Saharan Africa,Low income,NE,2006,2005,Value added at producer prices (VAP),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,1993,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2012,"Demographic and Health Survey (DHS), 2012","Core Welfare Indicator Questionnaire Survey (CWIQ)/Priority survey (PS), 2007",Yes,2004-2008,2002,2012,2005
NGA,Nigeria,Federal Republic of Nigeria,NG,Nigerian naira,Sub-Saharan Africa,Lower middle income,NG,2010,2005,Value added at basic prices (VAB),Blend,HIPC,Country uses the 1993 System of National Accounts methodology.,1971–98,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2006,"Demographic and Health Survey (DHS), 2013","Integrated household survey (IHS), 2010",Yes,2013,2008,2012,2005
NIC,Nicaragua,Republic of Nicaragua,NI,Nicaraguan gold cordoba,Latin America & Caribbean,Lower middle income,NI,2006,2005,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,1965–95,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2005,"Reproductive Health Survey (RHS), 2006/2007","Living Standards Measurement Study Survey (LSMS), 2009",Yes,2011,2008,2012,2001
NLD,Netherlands,Kingdom of the Netherlands,NL,Euro,Europe & Central Asia,High income: OECD,NL,Original chained constant price data are rescaled.,2005,Value added at basic prices (VAB),IDA,Euro area,Country uses the 1993 System of National Accounts methodology.,1985–90,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Demographic and Health Survey (DHS), 2011","Integrated household survey (IHS), 1999",Yes,2010,2008,2012,2008
NOR,Norway,Kingdom of Norway,NO,Norwegian krone,Europe & Central Asia,High income: OECD,NO,Original chained constant price data are rescaled.,2005,Value added at basic prices (VAB),IDA,Euro area,Country uses the 1993 System of National Accounts methodology.,1985–90,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Demographic and Health Survey (DHS), 2011","Income survey (IS), 2000",Yes,2010,2008,2012,2006
NPL,Nepal,Nepal,NP,Nepalese rupee,South Asia,Low income,NP,2000/01,2005,Value added at basic prices (VAB),IDA,Euro area,Country uses the 1993 System of National Accounts methodology.,1985–90,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2011,"Demographic and Health Survey (DHS), 2011","Living Standards Measurement Study Survey (LSMS), 2011",Yes,2011/ 2012,2008,2011,2006
NRU,Nauru,Nauru,NR,New Zealand dollar,East Asia & Pacific,High income: OECD,NR,2005/06,2005,Value added at basic prices (VAB),Blend,Euro area,Country uses the 1993 System of National Accounts methodology.,1985–90,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2013,"Multiple Indicator Cluster Survey (MICS), 2012","Income survey (IS), 1997",Yes,2012,2009,2012,2002
NZL,New Zealand,New Zealand,NZ,New Zealand dollar,East Asia & Pacific,High income: OECD,NZ,2005/06,2005,Value added at basic prices (VAB),Blend,Euro area,Country uses the 1993 System of National Accounts methodology.,1985–90,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2013,"Multiple Indicator Cluster Survey (MICS), 2012","Income survey (IS), 1997",Yes,2012,2009,2012,2002
OED,OECD members,OECD members,OE,Rial Omani,Middle East & North Africa,High income: nonOECD,OE,1988,2005,Value added at producer prices (VAP),Blend,Euro area,Country uses the 1993 System of National Accounts methodology.,1985–90,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2010,"Multiple Indicator Cluster Survey (MICS), 2012","Integrated household survey (IHS), 2008",Yes,2012/ 2013,2010,2012,2003
OMN,Oman,Sultanate of Oman,OM,Rial Omani,Middle East & North Africa,High income: nonOECD,OM,1988,2005,Value added at producer prices (VAP),Blend,Euro area,Country uses the 1993 System of National Accounts methodology.,1985–90,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2010,"Multiple Indicator Cluster Survey (MICS), 2012","Integrated household survey (IHS), 2008",Yes,2012/ 2013,2010,2012,2003
PAK,Pakistan,Islamic Republic of Pakistan,PK,Pakistani rupee,South Asia,Lower middle income,PK,2005/2006,2005,Value added at basic prices (VAB),Blend,Euro area,Country uses the 1993 System of National Accounts methodology.,1985–90,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),1998,"Demographic and Health Survey (DHS), 2012/13","Integrated household survey (IHS), 2008",Yes,2010,2006,2012,2008
PAN,Panama,Republic of Panama,PA,Panamanian balboa,Latin America & Caribbean,Upper middle income,PA,2007,2005,Value added at basic prices (VAB),IBRD,Euro area,Country uses the 1993 System of National Accounts methodology.,1985–90,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),2010,"Living Standards Measurement Study Survey (LSMS), 2008","Integrated household survey (IHS), 2011",Yes,2011,2001,2011,2000
PER,Peru,Republic of Peru,PE,Peruvian new sol,Latin America & Caribbean,Upper middle income,PE,2007,2005,Value added at basic prices (VAB),IBRD,Euro area,Country uses the 1993 System of National Accounts methodology.,1985–90,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2007,"Continuous Demographic and Health Survey (DHS), 2013","Integrated household survey (IHS), 2012",Yes,2012,2010,2012,2000
PHL,Philippines,Republic of the Philippines,PH,Philippine peso,East Asia & Pacific,Lower middle income,PH,2000,2005,Value added at producer prices (VAP),IBRD,Euro area,Country uses the 1993 System of National Accounts methodology.,1989,2005,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2010,"Demographic and Health Survey (DHS), 2013","Expenditure survey/budget survey (ES/BS), 2012",Yes,2012,2008,2012,2009
PLW,Palau,Republic of Palau,PW,U.S. dollar,East Asia & Pacific,Upper middle income,PW,2005,2005,Value added at basic prices (VAB),IBRD,Euro area,Country uses the 1993 System of National Accounts methodology.,1989,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2010,"Living Standards Measurement Study Survey (LSMS), 1996","Integrated household survey (IHS), 2009/10",Yes,2010,2009,2012,2005
PNG,Papua New Guinea,The Independent State of Papua New Guinea,PG,Papua New Guinea kina,East Asia & Pacific,Lower middle income,PG,1998,2005,Value added at producer prices (VAP),Blend,Euro area,Country uses the 1993 System of National Accounts methodology.,1989,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2011,"Living Standards Measurement Study Survey (LSMS), 1996","Integrated household survey (IHS), 2009/10",Yes,2010,2009,2012,2005
POL,Poland,Republic of Poland,PL,Polish zloty,Europe & Central Asia,High income: OECD,PL,Original chained constant price data are rescaled.,2005,Value added at basic prices (VAB),IBRD,Euro area,Country uses the 1993 System of National Accounts methodology.,"1987–89, 1992",Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Reproductive Health Survey (RHS), 1995/96","Expenditure survey/budget survey (ES/BS), 2010",Yes,2010,2009,2012,2009
PRI,Puerto Rico,Puerto Rico,PR,U.S. dollar,Latin America & Caribbean,High income: nonOECD,PR,1954,1996,Value added at producer prices (VAP),IBRD,Euro area,Country uses the 1968 System of National Accounts methodology.,"1987–89, 1992",Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,"Reproductive Health Survey (RHS), 1995/96","Income survey (IS), 1997",Yes,2007,2006,2012,2005
